"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3167","@smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","3134","@smoke footers exist on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","3202","@smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3582","@smoke logout link exist test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","4550","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2383","@smoke login page title test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","3239","@smoke valid login test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","4639","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3437","@smoke home page title test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","3086","@smoke footers exist on product page","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","4586","@smoke user is able to land on the product page test for iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
